Entity,Type
the delhi university,ORG
today,DATE
csas,ORG
today,DATE
july,DATE
august,DATE
first,ORDINAL
august,DATE
august,DATE
the last date,DATE
first,ORDINAL
august,DATE
cairo,GPE
thursday,DATE
afternoon,TIME
bhanwala,PERSON
christian,NORP
germany,GPE
german,NORP
christian,NORP
reitz,ORG
first,ORDINAL
cairo,GPE
bhanwala,PERSON
indian,NORP
cairo,GPE
one,CARDINAL
the world cup,EVENT
first,ORDINAL
reitz,ORG
two,CARDINAL
europe,LOC
last year,DATE
today,DATE
five,CARDINAL
bhanwala,PERSON
first,ORDINAL
that day,DATE
london,GPE
kumar,PERSON
jagpal bhanwala,PERSON
gohana,ORG
shooter harpreet,LOC
singh,GPE
tokyo,GPE
fifth,ORDINAL
delhi,GPE
tokyo,GPE
the delhi world cup,EVENT
tokyo,GPE
bhanwala,PERSON
the dr karni singh range,FAC
new delhi harpreet,GPE
one,CARDINAL
years ago,DATE
the delhi world cup,ORG
thursday,DATE
seventh,ORDINAL
one,CARDINAL
second,ORDINAL
czech,NORP
republic yan chesnel,PERSON
france,GPE
italy,GPE
the end of the,DATE
fourth,ORDINAL
second,ORDINAL
first,ORDINAL
three,CARDINAL
four,CARDINAL
second,ORDINAL
third,ORDINAL
four,CARDINAL
two,CARDINAL
indian,NORP
reitz,ORG
france,GPE
first,ORDINAL
five,CARDINAL
second,ORDINAL
three,CARDINAL
second,ORDINAL
four,CARDINAL
third,ORDINAL
bhanwala,PERSON
tokyo,GPE
reitz,ORG
fourth,ORDINAL
three,CARDINAL
five,CARDINAL
today,DATE
the new year,DATE
two,CARDINAL
manchester united,PERSON
europe,LOC
june,DATE
february,DATE
europe,LOC
al nassr,PERSON
portugal,GPE
saudi arabia,GPE
europe,LOC
two,CARDINAL
monthly,DATE
sunday,DATE
india,GPE
six,CARDINAL
india,GPE
sunday,DATE
mukesh ambani,PERSON
indian,NORP
one,CARDINAL
india,GPE
tuesday,DATE
this year,DATE
bhai,GPE
india,GPE
indian,NORP
shakti kapoor,PERSON
seven,CARDINAL
monthly,DATE
india,GPE
indian,NORP
thousands,CARDINAL
today,DATE
monthly,DATE
lakshmis ganga,PERSON
thaneer thaneer,PERSON
radhika sarathkumar,PERSON
kanda,ORG
naanum rowdy dhaan,ORG
nayanthara,PERSON
lora croft,PERSON
killivalavan,PERSON
ashwini,NORP
indian,NORP
world champions mayu matsumoto,EVENT
wakana nagahara,PERSON
malaysia,GPE
wednesday,DATE
monthly,DATE
a third day,DATE
wednesday,DATE
us,GPE
west texas,PRODUCT
about  million barrels,QUANTITY
american petroleum institute,ORG
wednesday,DATE
this morning,TIME
us,GPE
california,GPE
between june and september,DATE
sevenmonth,ORDINAL
the us energy information administration,ORG
later in the day,TIME
the middle east,LOC
israel,GPE
hamas,ORG
us,GPE
the second half,DATE
monthly,DATE
singapore,GPE
indian,NORP
billion,CARDINAL
the financial year,DATE
indian,NORP
billion,CARDINAL
last year,DATE
us,GPE
uk,GPE
india,GPE
ten,CARDINAL
switzerland,GPE
billion,CARDINAL
rs month,DATE
khanna,PERSON
khan,PERSON
ho,PERSON
badshah,PERSON
shrayana,PERSON
gujarati,GPE
india,GPE
indian,NORP
the state bank of india,ORG
bajaj hindusthan sugars,PERSON
october,DATE
bajaj hindusthan sugars,PERSON
october,DATE
anil kapoor,PERSON
years,DATE
years,DATE
kapoor,PERSON
midday,TIME
monthly,DATE
india,GPE
indian,NORP
us treasury,ORG
lawrence summers,PERSON
saturday,DATE
india,GPE
the end of the half century,DATE
hundreds of millions,MONEY
the cii and department of economic affairs ministry of finance,ORG
the reserve bank of india rbi,ORG
india,GPE
american,NORP
google,ORG
microsoft,ORG
united payments,ORG
monthly,DATE
veteran actor naeem,ORG
mumbai,GPE
friday,DATE
amar ujala,ORG
first,ORDINAL
first,ORDINAL
first,ORDINAL
india,GPE
indian,NORP
the rajasthan board,ORG
secondary,ORDINAL
today,DATE
december,DATE
winter,DATE
december,DATE
this season,DATE
english,NORP
five,CARDINAL
second,ORDINAL
manchester city,GPE
london,GPE
sunday,DATE
french,NORP
messi kylian,PERSON
neymar jr,PERSON
paris,GPE
fifth,ORDINAL
the season,DATE
france,GPE
monday,DATE
monday night,TIME
a month,DATE
the spring,DATE
next year,DATE
recent months,DATE
last year,DATE
last week,DATE
reuters,ORG
google,ORG
nick clegg,PERSON
last month,DATE
india,GPE
uk,GPE
reuters,ORG
this summer,DATE
last month,DATE
us,GPE
joe biden,PERSON
meta,ORG
australian,NORP
indian,NORP
the day,DATE
indian,NORP
every morning,TIME
chatgpt,ORG
the last  months,DATE
between september  and august,DATE
month,DATE
manchester united players,PERSON
this season,DATE
earlier in,DATE
the week,DATE
china,GPE
the last few months,DATE
third,ORDINAL
england,GPE
karnataka batsman,PERSON
third,ORDINAL
the last seven months,DATE
australia,GPE
india,GPE
xabi,PERSON
harry kane,PERSON
munich,GPE
bayer leverkusen,ORG
january  last year,DATE
morning,TIME
friday,DATE
thursday,DATE
american,NORP
asian,NORP
china,GPE
friday,DATE
anil kumar,PERSON
treasury,ORG
finrex treasury,ORG
one,CARDINAL
the reserve bank of india,ORG
thursday,DATE
six,CARDINAL
thursday,DATE
nasa,ORG
last friday,DATE
two,CARDINAL
earth,LOC
nasa,ORG
jeff,PERSON
monthly,DATE
motorola,ORG
october,DATE
motorola,ORG
a inch,QUANTITY
monthly,DATE
years,DATE
india,GPE
mohammad sirajs,PERSON
english,LANGUAGE
english,LANGUAGE
indian,NORP
mumbai,GPE
indians,NORP
sharma,NORP
a couple of months,DATE
emoji,PERSON
the allnew bumrah,ORG
jaspritbumrah,PERSON
january,DATE
south africa,GPE
two,CARDINAL
pat cummins,PERSON
south africa,GPE
thursday,DATE
a day,DATE
six,CARDINAL
south africa,GPE
south africa,GPE
david bedingham,PERSON
one,CARDINAL
"january  
late last",DATE
tristan,PERSON
bedingham moment,PERSON
mumbai,GPE
marco jansen,PERSON
bumrah keshav,PERSON
the day,DATE
southafrica,PERSON
january,DATE
first,ORDINAL
tony de zorzi,PERSON
rabada,GPE
second,ORDINAL
first,ORDINAL
second,ORDINAL
india,GPE
google,ORG
google,ORG
two,CARDINAL
monthly,DATE
first,ORDINAL
first,ORDINAL
bobby,PERSON
some years ago,DATE
matinee idol,PERSON
only last year,DATE
shanker ramans,PERSON
this day,DATE
